category,account,count
0,askjaiuk,19
0,pvsindhu1,18
0,shaifali_halwai,17
0,phanindranarsetti,17
1,meme_raaja,1124
1,filmyfocus,878
1,fukkard,745
1,capdt,627
1,(unknown),588
1,babunuvubtechah,422
1,strictlyformenofficial,412
1,sarcastic_us,403
1,silly_fellows_,385
1,instantbollywood,342
1,log.kya.kahenge,323
1,relangimavayya__,286
1,saripodha.eememe,235
1,meeru_ante_artistlu_bro,213
1,quarantine_memes_3,211
2,shreyasgroup,233
3,unprofessional_trollers,1218
4,america_nri_la_frustration,700
5,crazziee_stuff,867
